"country","code","population_size","world_bank_economies","pct_cases_sequenced_in_last_year","sequences_per_100k_last_year","sars_cov_2_binary"
"Afghanistan","AFG",38928000,"Low income",0.04,0.041,"Does not meet sequencing target"
"Albania","ALB",2878000,"Upper middle income",0.01,0.528,"Does not meet sequencing target"
"Algeria","DZA",43851000,"Lower middle income",0.48,0.688,"Does not meet sequencing target"
"Andorra","AND",77000,"High income",1,388.262,"Meets sequencing target"
"Angola","AGO",32866000,"Lower middle income",0.31,0.332,"Does not meet sequencing target"
"Anguilla","AIA",NaN,"No income data",2.22,409.397,"Meets sequencing target"
"Antigua and Barbuda","ATG",98000,"High income",2.06,110.907,"Meets sequencing target"
"Argentina","ARG",45196000,"Upper middle income",0.19,18.877,"Does not meet sequencing target"
"Armenia","ARM",2963000,"Upper middle income",0.03,1.439,"Does not meet sequencing target"
"Aruba","ABW",NaN,"High income",3.12,828.488,"Meets sequencing target"
"Australia","AUS",25500000,"High income",1.13,442.374,"Meets sequencing target"
"Austria","AUT",9006000,"High income",2.56,1325.448,"Meets sequencing target"
"Azerbaijan","AZE",10139000,"Upper middle income",0,0.116,"Does not meet sequencing target"
"Bahrain","BHR",1702000,"High income",1.86,520.908,"Meets sequencing target"
"Bangladesh","BGD",164689000,"Lower middle income",0.54,1.468,"Does not meet sequencing target"
"Barbados","BRB",287000,"High income",0.15,45.447,"Does not meet sequencing target"
"Belarus","BLR",9449000,"Upper middle income",0.06,2.643,"Does not meet sequencing target"
"Belgium","BEL",11590000,"High income",3.04,847.629,"Meets sequencing target"
"Belize","BLZ",398000,"Upper middle income",1.59,164.329,"Meets sequencing target"
"Benin","BEN",12123000,"Lower middle income",15.53,3.527,"Does not meet sequencing target"
"Bermuda","BMU",62000,"High income",1.28,252.309,"Meets sequencing target"
"Bhutan","BTN",772000,"Lower middle income",0,0,"Does not meet sequencing target"
"Bolivia","BOL",11673000,"Lower middle income",0.02,0.744,"Does not meet sequencing target"
"Bosnia and Herzegovina","BIH",3281000,"Upper middle income",0.6,27.184,"Meets sequencing target"
"Botswana","BWA",2352000,"Upper middle income",2.1,110.938,"Meets sequencing target"
"Brazil","BRA",212559000,"Upper middle income",0.67,40.729,"Meets sequencing target"
"British Virgin Islands","VGB",NaN,"High income",2.18,319.163,"Meets sequencing target"
"Brunei","BRN",437000,"High income",1.75,876.165,"Meets sequencing target"
"Bulgaria","BGR",6948000,"Upper middle income",1.57,154.896,"Meets sequencing target"
