"","alpha_2_code","alpha_3_code","latitude","longitude"
"116","JO"," JOR",31.3870648844492,36.9572888454725
"117","KZ"," KAZ",47.6414651951768,66.3759193479301
"118","KE"," KEN",0.689918231837618,37.9530941126237
"119","KI"," KIR",1.68607741621195,-42.29462747902
"120","KP"," PRK",40.1919809147084,127.337980565374
"121","KR"," KOR",36.0523646371681,127.631387638515
"122","KR"," KOR",36.0523646371681,127.631387638515
"123","KW"," KWT",29.3065719412247,47.6314138402099
"124","KG"," KGZ",41.3569890543836,74.1753290346832
"125","LA"," LAO",18.1172827368733,103.763758990264
"126","LV"," LVA",56.8138530475542,24.6936713256544
"127","LB"," LBN",33.9116017072209,35.8965194632475
"128","LS"," LSO",-29.6016811692482,28.2447531786423
"129","LR"," LBR",6.52012979398834,-9.25898893549762
"130","LY"," LBY",27.2029157716908,17.9113339245424
"131","LY"," LBY",27.2029157716908,17.9113339245424
"132","LI"," LIE",47.1462756213304,9.54767467237638
"133","LT"," LTU",55.2890402836528,23.8893709781744
"134","LU"," LUX",49.7752345454237,6.10323033845888
"135","MO"," MAC",NA,NA
"136","MK"," MKD",41.5940289014311,21.7099892387277
"137","MG"," MDG",-19.0416361249304,46.6849346683254
"138","MW"," MWI",-13.128986464184,34.2344118229888
"139","MY"," MYS",4.3043589782512,109.388254446858
"140","MV"," MDV",3.23911538394093,73.2387826057087
"141","ML"," MLI",17.1681462085848,-4.34639984178115
"142","MT"," MLT",35.8905226508993,14.4419224425085
"143","MH"," MHL",10.0510544247498,167.471854273209
"144","MQ"," MTQ",14.6426973535976,-61.0143238087508
"145","MR"," MRT",20.46673121282,-10.4950790450357
"146","MU"," MUS",-20.0605017037634,59.6886127186801
"147","YT"," MYT",-12.8214499951657,45.1486738388392
"148","MX"," MEX",23.643948434268,-103.120439371767
"149","FM"," FSM",6.16065174431316,160.419813077067
"150","MD"," MDA",47.0725674580696,28.3911118659413
"151","MC"," MCO",43.7479822499566,7.4128208732712
"152","MN"," MNG",47.0864445460485,103.398736032746
"153","ME"," MNE",42.7369483521045,19.2950508715676
"154","MS"," MSR",16.7353633914604,-62.1869328125626
"155","MA"," MAR",28.6875981349793,-8.81721258725081
"156","MZ"," MOZ",-17.5252303094887,35.2085770312902
"157","MM"," MMR",19.7773765841526,97.086915448075
"158","MM"," MMR",19.7773765841526,97.086915448075
"159","NA"," NAM",NA,NA
"160","NR"," NRU",-0.522102144066899,166.929376331392
"161","NP"," NPL",28.3009206997557,84.1338898313567
"162","NL"," NLD",52.1375151853951,5.4745768526276
"163","AN"," ANT",NA,NA
