,country,code,region,pop_100k,max_new_tests_cap_avg,cap_cum_tests,cum_tpr,dx_testing_capacity,ngs_capacity,sequencing_capacity,total_sequences,submission_count,total_viable_sequences,all_cases,percent_cases_sequenced,sequences_per_capita_per_100k,sars_cov_2_sequencing,cases_newly_reported_in_last_7_days_per_100000_population,world_bank_economies,archetype_full,archetype,label,dx_testing_capacity_clean,sequencing_capacity_clean,sars_cov_2_sequencing_clean,month,who_testing_capacity,owid_testing_capacity_cat,archetype_clean
65,Angola,AGO,Africa,328.66,16.29,3248.52126817988,0.059192120330555,Reliable testing capacity,,0 - 0 NGS facilities or equivalent,945,945,930.0,62842.0,1.5,2.78,500+ sequences,5.16,Lower middle income,3 - Leverage,Leverage,– Leverage existing NGS capacity,Reliable testing capacity,0 NGS facilities or equivalent,500+ sequences,October,1 - Reliable,1 - Reliable,Leverage
66,Bangladesh,BGD,South-East Asia,1646.89,25.41,5784.93402716636,0.164403415502013,Reliable testing capacity,2.0,2 - 4+ NGS facilities or equivalent,2940,2963,2870.0,1565488.0,0.19,1.77,500+ sequences,2.23,Lower middle income,4 - Strengthen,Strengthen,– Build additional NGS capacity for scale-up,Reliable testing capacity,4+ NGS facilities or equivalent,500+ sequences,October,1 - Reliable,1 - Reliable,Strengthen
67,Belize,BLZ,Americas,3.98,346.45,67425.6281407035,0.0922959970784859,Reliable testing capacity,,0 - 0 NGS facilities or equivalent,178,178,178.0,23990.0,0.74,43.96,1-499 sequences,398.11,Upper middle income,2 - Connect,Connect,– Set-up sample referral networks or build NGS capacity from scratch,Reliable testing capacity,0 NGS facilities or equivalent,1-499 sequences,October,0 - Unreliable,1 - Reliable,Connect
68,Benin,BEN,Africa,121.23,28.81,5284.05510187247,0.0383398950336098,Unreliable testing capacity,,0 - 0 NGS facilities or equivalent,264,282,264.0,24560.0,1.07,2.12,1-499 sequences,1.86,Lower middle income,1 - Test,Test,– Increase diagnostic testing capacity,Unreliable testing capacity,0 NGS facilities or equivalent,1-499 sequences,October,0 - Unreliable,1 - Reliable,Test
69,Bolivia,BOL,Americas,116.73,103.68,19607.4702304463,0.221573938954377,Reliable testing capacity,,0 - 0 NGS facilities or equivalent,152,152,150.0,506654.0,0.03,1.28,1-499 sequences,21.88,Lower middle income,2 - Connect,Connect,– Set-up sample referral networks or build NGS capacity from scratch,Reliable testing capacity,0 NGS facilities or equivalent,1-499 sequences,October,1 - Reliable,1 - Reliable,Connect
70,Burundi,BDI,Africa,118.91,58.57,6675.15768228072,0.0248758099284025,Reliable testing capacity,,0 - 0 NGS facilities or equivalent,63,63,63.0,19555.0,0.32,0.51,1-499 sequences,4.55,Low income,2 - Connect,Connect,– Set-up sample referral networks or build NGS capacity from scratch,Reliable testing capacity,0 NGS facilities or equivalent,1-499 sequences,October,1 - Reliable,1 - Reliable,Connect
71,Cambodia,KHM,Western Pacific,167.19,3381.69,143502.524074406,0.0048780463406691,Reliable testing capacity,1.0,1 - 1-3 NGS facilities or equivalent,1163,1165,1145.0,116665.0,1.0,6.86,500+ sequences,10.07,Lower middle income,4 - Strengthen,Strengthen,– Build additional NGS capacity for scale-up,Reliable testing capacity,1-3 NGS facilities or equivalent,500+ sequences,October,1 - Reliable,1 - Reliable,Strengthen
72,Cameroon,CMR,Africa,265.46,41.15,7897.24628945981,0.0478386073669996,Reliable testing capacity,1.0,1 - 1-3 NGS facilities or equivalent,211,220,211.0,98402.0,0.21,0.78,1-499 sequences,11.31,Lower middle income,3 - Leverage,Leverage,– Leverage existing NGS capacity,Reliable testing capacity,1-3 NGS facilities or equivalent,1-499 sequences,October,1 - Reliable,1 - Reliable,Leverage
73,Central African Republic,CAF,Africa,48.3,10.12,1402.87784679089,0.169394471583111,Reliable testing capacity,,0 - 0 NGS facilities or equivalent,56,118,56.0,11469.0,0.49,1.14,1-499 sequences,1.41,Low income,2 - Connect,Connect,– Set-up sample referral networks or build NGS capacity from scratch,Reliable testing capacity,0 NGS facilities or equivalent,1-499 sequences,October,1 - Reliable,0 - Unreliable,Connect
74,Chad,TCD,Africa,164.26,3.4,992.006574942165,0.0311082744696128,Reliable testing capacity,,0 - 0 NGS facilities or equivalent,0,9,0.0,5067.0,0.0,0.0,1-499 sequences,0.07,Low income,2 - Connect,Connect,– Set-up sample referral networks or build NGS capacity from scratch,Reliable testing capacity,0 NGS facilities or equivalent,1-499 sequences,October,1 - Reliable,1 - Reliable,Connect
75,Comoros,COM,Africa,8.7,8.86,715.747126436782,0.673036775333226,Unreliable testing capacity,,0 - 0 NGS facilities or equivalent,6,6,6.0,4186.0,0.14,0.68,1-499 sequences,1.72,Lower middle income,1 - Test,Test,– Increase diagnostic testing capacity,Unreliable testing capacity,0 NGS facilities or equivalent,1-499 sequences,October,0 - Unreliable,,Test
76,Democratic Republic of the Congo,COD,Africa,895.61,2.5,441.576132468373,0.144983311419035,Reliable testing capacity,1.0,1 - 1-3 NGS facilities or equivalent,649,870,628.0,57269.0,1.13,0.7,500+ sequences,0.21,Low income,4 - Strengthen,Strengthen,– Build additional NGS capacity for scale-up,Reliable testing capacity,1-3 NGS facilities or equivalent,500+ sequences,October,1 - Reliable,1 - Reliable,Strengthen
77,Djibouti,DJI,Eastern Mediterranean,9.88,85.26,23374.0890688259,0.0581243288183739,Reliable testing capacity,,0 - 0 NGS facilities or equivalent,306,306,306.0,13396.0,2.28,30.53,1-499 sequences,23.38,Lower middle income,2 - Connect,Connect,– Set-up sample referral networks or build NGS capacity from scratch,Reliable testing capacity,0 NGS facilities or equivalent,1-499 sequences,October,1 - Reliable,1 - Reliable,Connect
78,Egypt,EGY,Eastern Mediterranean,1023.34,13.94,3834.30042801024,0.0816064965710475,Reliable testing capacity,1.0,1 - 1-3 NGS facilities or equivalent,1038,1046,936.0,318456.0,0.33,1.0,500+ sequences,5.71,Lower middle income,4 - Strengthen,Strengthen,– Build additional NGS capacity for scale-up,Reliable testing capacity,1-3 NGS facilities or equivalent,500+ sequences,October,1 - Reliable,1 - Reliable,Strengthen
79,El Salvador,SLV,Americas,64.86,337.26,27921.2765957447,0.0608446062726467,Reliable testing capacity,1.0,1 - 1-3 NGS facilities or equivalent,138,138,129.0,110188.0,0.13,2.12,1-499 sequences,5.07,Lower middle income,3 - Leverage,Leverage,– Leverage existing NGS capacity,Reliable testing capacity,1-3 NGS facilities or equivalent,1-499 sequences,October,0 - Unreliable,1 - Reliable,Leverage
80,Eswatini,SWZ,Africa,11.6,148.87,32634.5689655172,0.122495449874657,Reliable testing capacity,,0 - 0 NGS facilities or equivalent,123,123,123.0,46363.0,0.27,10.49,1-499 sequences,11.81,Lower middle income,2 - Connect,Connect,– Set-up sample referral networks or build NGS capacity from scratch,Reliable testing capacity,0 NGS facilities or equivalent,1-499 sequences,October,1 - Reliable,1 - Reliable,Connect
81,Ethiopia,ETH,Africa,1149.64,16.85,3135.2484255941,0.0998447178689865,Reliable testing capacity,,0 - 0 NGS facilities or equivalent,219,219,219.0,359247.0,0.06,0.19,1-499 sequences,4.73,Low income,2 - Connect,Connect,– Set-up sample referral networks or build NGS capacity from scratch,Reliable testing capacity,0 NGS facilities or equivalent,1-499 sequences,October,1 - Reliable,1 - Reliable,Connect
82,Ghana,GHA,Africa,310.73,18.98,5880.38490007402,0.0709233520795616,Reliable testing capacity,1.0,1 - 1-3 NGS facilities or equivalent,1436,1436,1435.0,129440.0,1.11,4.53,500+ sequences,0.67,Lower middle income,4 - Strengthen,Strengthen,– Build additional NGS capacity for scale-up,Reliable testing capacity,1-3 NGS facilities or equivalent,500+ sequences,October,1 - Reliable,1 - Reliable,Strengthen
83,Guinea,GIN,Africa,131.33,32.21,3881.34470418031,0.0600289953446581,Unreliable testing capacity,,0 - 0 NGS facilities or equivalent,228,262,218.0,30572.0,0.75,1.69,1-499 sequences,0.63,Low income,1 - Test,Test,– Increase diagnostic testing capacity,Unreliable testing capacity,0 NGS facilities or equivalent,1-499 sequences,October,0 - Unreliable,1 - Reliable,Test
84,Guinea-Bissau,GNB,Africa,19.68,18.02,5113.0081300813,0.0609198600731436,Unreliable testing capacity,,0 - 0 NGS facilities or equivalent,48,48,48.0,6130.0,0.78,2.38,1-499 sequences,0.56,Low income,1 - Test,Test,– Increase diagnostic testing capacity,Unreliable testing capacity,0 NGS facilities or equivalent,1-499 sequences,October,0 - Unreliable,,Test
85,Haiti,HTI,Americas,114.03,,0.0,,Unreliable testing capacity,,0 - 0 NGS facilities or equivalent,95,95,95.0,22933.0,0.41,0.82,1-499 sequences,1.8,Low income,1 - Test,Test,– Increase diagnostic testing capacity,Unreliable testing capacity,0 NGS facilities or equivalent,1-499 sequences,October,0 - Unreliable,1 - Reliable,Test
86,Honduras,HND,Americas,99.05,33.38,10472.0646138314,0.359800551068297,Unreliable testing capacity,,0 - 0 NGS facilities or equivalent,116,116,116.0,372179.0,0.03,1.15,1-499 sequences,23.36,Lower middle income,1 - Test,Test,– Increase diagnostic testing capacity,Unreliable testing capacity,0 NGS facilities or equivalent,1-499 sequences,October,0 - Unreliable,1 - Reliable,Test
87,India,IND,South-East Asia,13800.04,161.31,43074.5048565077,0.0573564243211256,Reliable testing capacity,2.0,2 - 4+ NGS facilities or equivalent,65629,69859,62378.0,34081315.0,0.19,4.71,500+ sequences,9.16,Lower middle income,4 - Strengthen,Strengthen,– Build additional NGS capacity for scale-up,Reliable testing capacity,4+ NGS facilities or equivalent,500+ sequences,October,1 - Reliable,1 - Reliable,Strengthen
88,Indonesia,IDN,South-East Asia,2735.24,98.2,16036.310890452,0.09657961479701,Reliable testing capacity,2.0,2 - 4+ NGS facilities or equivalent,7852,7853,7672.0,4234758.0,0.19,2.84,500+ sequences,2.78,Upper middle income,4 - Strengthen,Strengthen,– Build additional NGS capacity for scale-up,Reliable testing capacity,4+ NGS facilities or equivalent,500+ sequences,October,1 - Reliable,1 - Reliable,Strengthen
89,Iran,IRN,Eastern Mediterranean,839.93,158.11,37684.149869632,0.183557379920566,Reliable testing capacity,2.0,2 - 4+ NGS facilities or equivalent,605,606,280.0,5784815.0,0.01,0.71,500+ sequences,94.8,Upper middle income,4 - Strengthen,Strengthen,– Build additional NGS capacity for scale-up,Reliable testing capacity,4+ NGS facilities or equivalent,500+ sequences,October,1 - Reliable,1 - Reliable,Strengthen
90,Kenya,KEN,Africa,537.71,14.77,4914.61382529616,0.0954345980927384,Reliable testing capacity,1.0,1 - 1-3 NGS facilities or equivalent,3568,3569,3483.0,252033.0,1.42,6.49,500+ sequences,1.81,Lower middle income,4 - Strengthen,Strengthen,– Build additional NGS capacity for scale-up,Reliable testing capacity,1-3 NGS facilities or equivalent,500+ sequences,October,1 - Reliable,1 - Reliable,Strengthen
91,Laos,LAO,Western Pacific,72.76,37.1,4192.04233095107,0.108097031929787,Reliable testing capacity,,0 - 0 NGS facilities or equivalent,18,23,0.0,32029.0,0.06,0.24,1-499 sequences,48.13,Lower middle income,2 - Connect,Connect,– Set-up sample referral networks or build NGS capacity from scratch,Reliable testing capacity,0 NGS facilities or equivalent,1-499 sequences,October,1 - Reliable,1 - Reliable,Connect
92,Lesotho,LSO,Africa,21.42,100.82,10135.6676003735,0.0992925114920822,Reliable testing capacity,,0 - 0 NGS facilities or equivalent,18,18,18.0,21530.0,0.08,0.83,1-499 sequences,2.71,Lower middle income,2 - Connect,Connect,– Set-up sample referral networks or build NGS capacity from scratch,Reliable testing capacity,0 NGS facilities or equivalent,1-499 sequences,October,1 - Reliable,1 - Reliable,Connect
93,Liberia,LBR,Africa,50.58,21.09,2764.4128113879,0.0423031811420071,Reliable testing capacity,,0 - 0 NGS facilities or equivalent,77,77,77.0,5803.0,1.33,1.49,1-499 sequences,0.08,Low income,2 - Connect,Connect,– Set-up sample referral networks or build NGS capacity from scratch,Reliable testing capacity,0 NGS facilities or equivalent,1-499 sequences,October,1 - Reliable,1 - Reliable,Connect
94,Madagascar,MDG,Africa,276.91,4.55,850.406269184934,0.185242434794425,Reliable testing capacity,1.0,1 - 1-3 NGS facilities or equivalent,722,722,722.0,43616.0,1.66,2.54,500+ sequences,0.02,Low income,4 - Strengthen,Strengthen,– Build additional NGS capacity for scale-up,Reliable testing capacity,1-3 NGS facilities or equivalent,500+ sequences,October,1 - Reliable,1 - Reliable,Strengthen
95,Malawi,MWI,Africa,191.3,13.13,2192.50392054365,0.147182101252664,Reliable testing capacity,,0 - 0 NGS facilities or equivalent,585,586,574.0,61716.0,0.95,2.98,500+ sequences,0.31,Low income,3 - Leverage,Leverage,– Leverage existing NGS capacity,Reliable testing capacity,0 NGS facilities or equivalent,500+ sequences,October,1 - Reliable,1 - Reliable,Leverage
96,Mali,MLI,Africa,202.51,7.03,2195.61503135648,0.0352514652500708,Reliable testing capacity,1.0,1 - 1-3 NGS facilities or equivalent,71,71,71.0,15619.0,0.45,0.34,1-499 sequences,0.83,Low income,3 - Leverage,Leverage,– Leverage existing NGS capacity,Reliable testing capacity,1-3 NGS facilities or equivalent,1-499 sequences,October,1 - Reliable,1 - Reliable,Leverage
97,Mongolia,MNG,Western Pacific,32.78,,0.0,,Reliable testing capacity,,0 - 0 NGS facilities or equivalent,28,28,22.0,339536.0,0.01,0.84,1-499 sequences,276.49,Lower middle income,2 - Connect,Connect,– Set-up sample referral networks or build NGS capacity from scratch,Reliable testing capacity,0 NGS facilities or equivalent,1-499 sequences,October,1 - Reliable,1 - Reliable,Connect
98,Morocco,MAR,Eastern Mediterranean,369.11,101.76,24366.0805721872,0.104825854892345,Reliable testing capacity,2.0,2 - 4+ NGS facilities or equivalent,433,484,355.0,942132.0,0.05,1.16,1-499 sequences,9.59,Lower middle income,3 - Leverage,Leverage,– Leverage existing NGS capacity,Reliable testing capacity,4+ NGS facilities or equivalent,1-499 sequences,October,1 - Reliable,1 - Reliable,Leverage
99,Mozambique,MOZ,Africa,312.55,15.68,2969.93121100624,0.162817855496137,Reliable testing capacity,,0 - 0 NGS facilities or equivalent,580,580,573.0,151102.0,0.38,1.8,500+ sequences,0.55,Low income,3 - Leverage,Leverage,– Leverage existing NGS capacity,Reliable testing capacity,0 NGS facilities or equivalent,500+ sequences,October,1 - Reliable,0 - Unreliable,Leverage
100,Myanmar,MMR,South-East Asia,544.1,45.82,8442.70170924462,0.106670172937827,Reliable testing capacity,1.0,1 - 1-3 NGS facilities or equivalent,74,75,31.0,487853.0,0.02,0.14,1-499 sequences,18.19,Lower middle income,3 - Leverage,Leverage,– Leverage existing NGS capacity,Reliable testing capacity,1-3 NGS facilities or equivalent,1-499 sequences,October,1 - Reliable,1 - Reliable,Leverage
101,Nepal,NPL,South-East Asia,291.37,65.19,14883.5432611456,0.185978336113534,Reliable testing capacity,1.0,1 - 1-3 NGS facilities or equivalent,271,287,264.0,805037.0,0.03,0.91,1-499 sequences,13.71,Lower middle income,3 - Leverage,Leverage,– Leverage existing NGS capacity,Reliable testing capacity,1-3 NGS facilities or equivalent,1-499 sequences,October,0 - Unreliable,1 - Reliable,Leverage
102,Niger,NER,Africa,242.07,2.52,685.239806667493,0.0373351177988377,Reliable testing capacity,,0 - 0 NGS facilities or equivalent,24,24,23.0,6170.0,0.39,0.1,1-499 sequences,0.31,Low income,2 - Connect,Connect,– Set-up sample referral networks or build NGS capacity from scratch,Reliable testing capacity,0 NGS facilities or equivalent,1-499 sequences,October,1 - Reliable,1 - Reliable,Connect
103,Nigeria,NGA,Africa,2061.4,52.77,2930.23236635296,0.0346908580766677,Reliable testing capacity,2.0,2 - 4+ NGS facilities or equivalent,2734,2769,2623.0,209298.0,1.31,1.29,500+ sequences,0.89,Lower middle income,4 - Strengthen,Strengthen,– Build additional NGS capacity for scale-up,Reliable testing capacity,4+ NGS facilities or equivalent,500+ sequences,October,1 - Reliable,1 - Reliable,Strengthen
104,Pakistan,PAK,Eastern Mediterranean,2208.92,26.12,9161.00220922442,0.0625720964220012,Reliable testing capacity,2.0,2 - 4+ NGS facilities or equivalent,1264,1265,1176.0,1265047.0,0.1,0.56,500+ sequences,3.08,Lower middle income,4 - Strengthen,Strengthen,– Build additional NGS capacity for scale-up,Reliable testing capacity,4+ NGS facilities or equivalent,500+ sequences,October,1 - Reliable,1 - Reliable,Strengthen
105,Papua New Guinea,PNG,Western Pacific,89.47,11.79,2084.10640438136,0.135982624084949,Unreliable testing capacity,,0 - 0 NGS facilities or equivalent,774,1001,774.0,24041.0,3.22,8.49,500+ sequences,23.97,Lower middle income,1 - Test,Test,– Increase diagnostic testing capacity,Unreliable testing capacity,0 NGS facilities or equivalent,500+ sequences,October,0 - Unreliable,1 - Reliable,Test
106,Philippines,PHL,Western Pacific,1095.81,72.12,20278.496272164,0.122932739682807,Reliable testing capacity,1.0,1 - 1-3 NGS facilities or equivalent,7133,7134,7128.0,2720368.0,0.26,6.42,500+ sequences,61.63,Lower middle income,4 - Strengthen,Strengthen,– Build additional NGS capacity for scale-up,Reliable testing capacity,1-3 NGS facilities or equivalent,500+ sequences,October,1 - Reliable,1 - Reliable,Strengthen
107,Republic of the Congo,COG,Africa,55.18,17.51,4384.59586806814,0.0659744897537426,Reliable testing capacity,,0 - 0 NGS facilities or equivalent,261,269,257.0,15514.0,1.68,4.61,1-499 sequences,7.65,Lower middle income,2 - Connect,Connect,– Set-up sample referral networks or build NGS capacity from scratch,Reliable testing capacity,0 NGS facilities or equivalent,1-499 sequences,October,1 - Reliable,1 - Reliable,Connect
108,Rwanda,RWA,Africa,129.52,118.94,23197.0506485485,0.0330216656315465,Reliable testing capacity,,0 - 0 NGS facilities or equivalent,650,650,634.0,99145.0,0.66,4.9,500+ sequences,5.52,Low income,3 - Leverage,Leverage,– Leverage existing NGS capacity,Reliable testing capacity,0 NGS facilities or equivalent,500+ sequences,October,1 - Reliable,1 - Reliable,Leverage
109,Samoa,WSM,Western Pacific,1.98,,0.0,,Unreliable testing capacity,,0 - 0 NGS facilities or equivalent,0,0,0.0,3.0,0.0,0.0,0 sequences,0.0,Upper middle income,1 - Test,Test,– Increase diagnostic testing capacity,Unreliable testing capacity,0 NGS facilities or equivalent,0 sequences,October,0 - Unreliable,,Test
110,Senegal,SEN,Africa,167.44,19.31,4986.83707596751,0.0884734777172585,Reliable testing capacity,1.0,1 - 1-3 NGS facilities or equivalent,620,621,609.0,73866.0,0.84,3.61,500+ sequences,0.19,Lower middle income,4 - Strengthen,Strengthen,– Build additional NGS capacity for scale-up,Reliable testing capacity,1-3 NGS facilities or equivalent,500+ sequences,October,1 - Reliable,1 - Reliable,Strengthen
111,Sierra Leone,SLE,Africa,79.77,10.27,2864.43525134762,0.0279961137175268,Unreliable testing capacity,1.0,1 - 1-3 NGS facilities or equivalent,51,51,51.0,6396.0,0.8,0.63,1-499 sequences,0.0,Low income,1 - Test,Test,– Increase diagnostic testing capacity,Unreliable testing capacity,1-3 NGS facilities or equivalent,1-499 sequences,October,0 - Unreliable,1 - Reliable,Test
112,Solomon Islands,SLB,Western Pacific,,,,,Reliable testing capacity,,0 - 0 NGS facilities or equivalent,6,6,6.0,20.0,30.0,0.85,1-499 sequences,0.0,Lower middle income,2 - Connect,Connect,– Set-up sample referral networks or build NGS capacity from scratch,Reliable testing capacity,0 NGS facilities or equivalent,1-499 sequences,October,1 - Reliable,1 - Reliable,Connect
113,South Sudan,SSD,Africa,111.94,14.4,2428.15794175451,0.0450685778196374,Reliable testing capacity,,0 - 0 NGS facilities or equivalent,88,89,88.0,12184.0,0.72,0.77,1-499 sequences,0.64,Low income,2 - Connect,Connect,– Set-up sample referral networks or build NGS capacity from scratch,Reliable testing capacity,0 NGS facilities or equivalent,1-499 sequences,October,1 - Reliable,1 - Reliable,Connect
114,Sri Lanka,LKA,South-East Asia,214.13,71.64,11136.9028160463,0.223405856810686,Reliable testing capacity,1.0,1 - 1-3 NGS facilities or equivalent,1524,1525,1524.0,531648.0,0.29,7.09,500+ sequences,25.83,Lower middle income,4 - Strengthen,Strengthen,– Build additional NGS capacity for scale-up,Reliable testing capacity,1-3 NGS facilities or equivalent,500+ sequences,October,1 - Reliable,1 - Reliable,Strengthen
115,Sudan,SDN,Eastern Mediterranean,438.49,5.39,671.917261511095,0.135217510835661,Unreliable testing capacity,,0 - 0 NGS facilities or equivalent,111,116,110.0,39550.0,0.28,0.25,1-499 sequences,1.57,Low income,1 - Test,Test,– Increase diagnostic testing capacity,Unreliable testing capacity,0 NGS facilities or equivalent,1-499 sequences,October,0 - Unreliable,1 - Reliable,Test
116,Tanzania,TZA,Africa,597.34,3.74,497.48719322329,0.087606715370715,Reliable testing capacity,,0 - 0 NGS facilities or equivalent,0,0,0.0,26034.0,0.0,0.0,0 sequences,0.13,Lower middle income,2 - Connect,Connect,– Set-up sample referral networks or build NGS capacity from scratch,Reliable testing capacity,0 NGS facilities or equivalent,0 sequences,October,1 - Reliable,1 - Reliable,Connect
117,Togo,TGO,Africa,82.79,23.7,6461.95192656118,0.0484611718085554,Unreliable testing capacity,,0 - 0 NGS facilities or equivalent,343,347,341.0,25899.0,1.32,4.05,1-499 sequences,2.21,Low income,1 - Test,Test,– Increase diagnostic testing capacity,Unreliable testing capacity,0 NGS facilities or equivalent,1-499 sequences,October,0 - Unreliable,1 - Reliable,Test
118,Tunisia,TUN,Eastern Mediterranean,118.19,145.21,25593.2566206955,0.23505397096798,Reliable testing capacity,1.0,1 - 1-3 NGS facilities or equivalent,132,132,118.0,710906.0,0.02,1.11,1-499 sequences,11.18,Lower middle income,3 - Leverage,Leverage,– Leverage existing NGS capacity,Reliable testing capacity,1-3 NGS facilities or equivalent,1-499 sequences,October,1 - Reliable,1 - Reliable,Leverage
119,Uganda,UGA,Africa,457.41,15.87,3838.11241555716,0.071362293381545,Reliable testing capacity,1.0,1 - 1-3 NGS facilities or equivalent,709,712,708.0,125186.0,0.57,1.5,500+ sequences,1.46,Low income,4 - Strengthen,Strengthen,– Build additional NGS capacity for scale-up,Reliable testing capacity,1-3 NGS facilities or equivalent,500+ sequences,October,1 - Reliable,1 - Reliable,Strengthen
120,Ukraine,UKR,Europe,437.34,105.37,31153.7682352403,0.204350100394215,Reliable testing capacity,1.0,1 - 1-3 NGS facilities or equivalent,319,320,318.0,2757328.0,0.01,0.73,1-499 sequences,227.81,Lower middle income,3 - Leverage,Leverage,– Leverage existing NGS capacity,Reliable testing capacity,1-3 NGS facilities or equivalent,1-499 sequences,October,1 - Reliable,1 - Reliable,Leverage
121,Uzbekistan,UZB,Europe,334.69,45.89,4182.97529056739,0.129752857142857,Reliable testing capacity,,0 - 0 NGS facilities or equivalent,90,90,73.0,180958.0,0.05,0.27,1-499 sequences,8.21,Lower middle income,2 - Connect,Connect,– Set-up sample referral networks or build NGS capacity from scratch,Reliable testing capacity,0 NGS facilities or equivalent,1-499 sequences,October,1 - Reliable,1 - Reliable,Connect
122,Vanuatu,VUT,Western Pacific,3.07,,0.0,,Reliable testing capacity,,0 - 0 NGS facilities or equivalent,2,2,1.0,4.0,50.0,0.64,1-499 sequences,0.0,Lower middle income,2 - Connect,Connect,– Set-up sample referral networks or build NGS capacity from scratch,Reliable testing capacity,0 NGS facilities or equivalent,1-499 sequences,October,1 - Reliable,1 - Reliable,Connect
123,Vietnam,VNM,Western Pacific,973.39,13.21,2961.70085988145,0.30186895788601,Reliable testing capacity,1.0,1 - 1-3 NGS facilities or equivalent,695,695,476.0,864053.0,0.08,0.71,500+ sequences,27.74,Lower middle income,4 - Strengthen,Strengthen,– Build additional NGS capacity for scale-up,Reliable testing capacity,1-3 NGS facilities or equivalent,500+ sequences,October,1 - Reliable,1 - Reliable,Strengthen
124,Zambia,ZMB,Africa,183.84,55.74,13858.0124020888,0.0822516531856525,Reliable testing capacity,1.0,1 - 1-3 NGS facilities or equivalent,970,970,969.0,209521.0,0.46,5.13,500+ sequences,0.89,Lower middle income,4 - Strengthen,Strengthen,– Build additional NGS capacity for scale-up,Reliable testing capacity,1-3 NGS facilities or equivalent,500+ sequences,October,1 - Reliable,1 - Reliable,Strengthen
125,Zimbabwe,ZWE,Africa,148.63,77.95,9878.09325169885,0.0901830223930156,Reliable testing capacity,,0 - 0 NGS facilities or equivalent,657,659,572.0,132368.0,0.5,4.35,500+ sequences,4.53,Lower middle income,3 - Leverage,Leverage,– Leverage existing NGS capacity,Reliable testing capacity,0 NGS facilities or equivalent,500+ sequences,October,1 - Reliable,1 - Reliable,Leverage
