,country,code,region,pop_100k,max_new_tests_cap_avg,cap_cum_tests,cum_tpr,dx_testing_capacity,ngs_capacity,sequencing_capacity,total_sequences,submission_count,total_viable_sequences,all_cases,percent_cases_sequenced,sequences_per_capita_per_100k,sars_cov_2_sequencing,cases_newly_reported_in_last_7_days_per_100000_population,world_bank_economies,archetype_full,archetype,label,dx_testing_capacity_clean,sequencing_capacity_clean,sars_cov_2_sequencing_clean,month,who_testing_capacity,owid_testing_capacity_cat,archetype_clean
15,Egypt,EGY,Eastern Mediterranean,1023.34,13.94,3393.52023765317,0.0820856819932474,Reliable testing capacity,1.0,1-3 NGS facilities or equivalent,1008,1016,907.0,284641.0,0.35,0.99,500+ sequences,1.27,Lower middle income,4 - Strengthen,Strengthen,– Build additional NGS capacity for scale-up,Reliable testing capacity,1-3 NGS facilities or equivalent,500+ sequences,August,1 - Reliable,1 - Reliable,
16,El Salvador,SLV,Americas,64.86,337.26,26906.5988282455,0.0516450621776087,Reliable testing capacity,1.0,1-3 NGS facilities or equivalent,6,104,1.0,88371.0,0.01,0.09,1-499 sequences,22.65,Lower middle income,3 - Leverage,Leverage,– Leverage existing NGS capacity,Reliable testing capacity,1-3 NGS facilities or equivalent,1-499 sequences,August,0 - Unreliable,1 - Reliable,
17,Eswatini,SWZ,Africa,11.6,127.63,25477.5862068966,0.117023076402517,Reliable testing capacity,,0 NGS facilities or equivalent,33,33,33.0,30787.0,0.11,2.84,1-499 sequences,37.75,Lower middle income,2 - Connect,Connect,– Set-up sample referral networks or build NGS capacity from scratch,Reliable testing capacity,0 NGS facilities or equivalent,1-499 sequences,August,1 - Reliable,1 - Reliable,
18,Ethiopia,ETH,Africa,1149.64,16.85,2693.64409728263,0.0927380929699511,Reliable testing capacity,,0 NGS facilities or equivalent,25,25,25.0,283667.0,0.01,0.02,1-499 sequences,0.56,Low income,2 - Connect,Connect,– Set-up sample referral networks or build NGS capacity from scratch,Reliable testing capacity,0 NGS facilities or equivalent,1-499 sequences,August,1 - Reliable,1 - Reliable,
19,Ghana,GHA,Africa,310.73,17.94,4835.89933382679,0.0728229092561919,Reliable testing capacity,1.0,1-3 NGS facilities or equivalent,1113,1113,1113.0,106750.0,1.04,3.58,500+ sequences,2.56,Lower middle income,4 - Strengthen,Strengthen,– Build additional NGS capacity for scale-up,Reliable testing capacity,1-3 NGS facilities or equivalent,500+ sequences,August,1 - Reliable,1 - Reliable,
20,Guinea,GIN,Africa,131.33,32.21,3881.34470418031,0.0539631221590742,Unreliable testing capacity,,0 NGS facilities or equivalent,167,202,167.0,26847.0,0.62,1.27,1-499 sequences,1.33,Low income,1 - Test,Test,– Increase diagnostic testing capacity,Unreliable testing capacity,0 NGS facilities or equivalent,1-499 sequences,August,0 - Unreliable,1 - Reliable,
21,Guinea-Bissau,GNB,Africa,19.68,14.64,4312.75406504065,0.0587452135493373,Unreliable testing capacity,,0 NGS facilities or equivalent,48,48,48.0,4764.0,1.01,2.44,1-499 sequences,2.39,Low income,1 - Test,Test,– Increase diagnostic testing capacity,Unreliable testing capacity,0 NGS facilities or equivalent,1-499 sequences,August,0 - Unreliable,,
22,Haiti,HTI,Americas,114.03,,0.0,,Unreliable testing capacity,,0 NGS facilities or equivalent,79,79,79.0,20326.0,0.39,0.69,1-499 sequences,3.81,Low income,1 - Test,Test,– Increase diagnostic testing capacity,Unreliable testing capacity,0 NGS facilities or equivalent,1-499 sequences,August,0 - Unreliable,1 - Reliable,
23,Honduras,HND,Americas,99.05,33.38,9220.61585058052,0.341827785332781,Unreliable testing capacity,,0 NGS facilities or equivalent,66,66,66.0,305936.0,0.02,0.67,1-499 sequences,80.28,Lower middle income,1 - Test,Test,– Increase diagnostic testing capacity,Unreliable testing capacity,0 NGS facilities or equivalent,1-499 sequences,August,0 - Unreliable,1 - Reliable,
24,India,IND,South-East Asia,13800.04,161.31,35468.7942208863,0.065617453335248,Reliable testing capacity,2.0,4+ NGS facilities or equivalent,43167,45235,41147.0,31934455.0,0.14,3.13,500+ sequences,21.59,Lower middle income,4 - Strengthen,Strengthen,– Build additional NGS capacity for scale-up,Reliable testing capacity,4+ NGS facilities or equivalent,500+ sequences,August,1 - Reliable,1 - Reliable,
